xflr5 v6.61

Plane name :        Plane Name
Polar name :        Estudio
Freestream speed :  83.340 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -20.000     0.000  -1.531596   0.113359   0.013471   0.126831   0.000000   0.000000   0.362601   0.000000   0.000000   83.3400     0.8072
  -19.500     0.000  -1.496236   0.108178   0.012887   0.121064   0.000000   0.000000   0.354932   0.000000  -0.000000   83.3400     0.8116
  -19.000     0.000  -1.460670   0.103001   0.012309   0.115311   0.000000   0.000000   0.347120  -0.000000  -0.000000   83.3400     0.8157
  -18.500     0.000  -1.424496   0.097874   0.011757   0.109631   0.000000   0.000000   0.339065  -0.000000  -0.000000   83.3400     0.8196
  -18.000     0.000  -1.387532   0.092793   0.011253   0.104046   0.000000   0.000000   0.330704   0.000000   0.000000   83.3400     0.8232
  -17.500     0.000  -1.349961   0.087783   0.010793   0.098575   0.000000   0.000000   0.322110   0.000000   0.000000   83.3400     0.8265
  -17.000     0.000  -1.311702   0.082825   0.010384   0.093209   0.000000   0.000000   0.313225   0.000000   0.000000   83.3400     0.8295
  -16.500     0.000  -1.272642   0.077933   0.010012   0.087946   0.000000   0.000000   0.303990   0.000000   0.000000   83.3400     0.8320
  -16.000     0.000  -1.233076   0.073150   0.009667   0.082818   0.000000   0.000000   0.294551   0.000000   0.000000   83.3400     0.8341
  -15.500     0.000  -1.192434   0.068411   0.009343   0.077754   0.000000   0.000000   0.284586   0.000000   0.000000   83.3400     0.8354
  -15.000     0.000  -1.151737   0.063838   0.009032   0.072870   0.000000   0.000000   0.274630   0.000000   0.000000   83.3400     0.8366
  -14.500     0.000  -1.111706   0.059485   0.008743   0.068228   0.000000   0.000000   0.265054   0.000000   0.000000   83.3400     0.8385
  -14.000     0.000  -1.072451   0.055330   0.008480   0.063811   0.000000   0.000000   0.255895   0.000000   0.000000   83.3400     0.8411
  -13.500     0.000  -1.032683   0.051286   0.008236   0.059523   0.000000   0.000000   0.246492   0.000000   0.000000   83.3400     0.8432
  -13.000     0.000  -0.992476   0.047361   0.008008   0.055369   0.000000   0.000000   0.236873  -0.000000  -0.000000   83.3400     0.8448
  -12.500     0.000  -0.951933   0.043566   0.007795   0.051361   0.000000   0.000000   0.227091   0.000000   0.000000   83.3400     0.8460
  -12.000     0.000  -0.911209   0.039914   0.007586   0.047500   0.000000   0.000000   0.217220   0.000000   0.000000   83.3400     0.8469
  -11.500     0.000  -0.870358   0.036411   0.007386   0.043797   0.000000   0.000000   0.207288  -0.000000  -0.000000   83.3400     0.8476
  -11.000     0.000  -0.829364   0.033059   0.007203   0.040261   0.000000   0.000000   0.197284   0.000000   0.000000   83.3400     0.8479
  -10.500     0.000  -0.788160   0.029854   0.007046   0.036900   0.000000   0.000000   0.187182   0.000000   0.000000   83.3400     0.8479
  -10.000     0.000  -0.746716   0.026798   0.006930   0.033728   0.000000   0.000000   0.176969   0.000000  -0.000000   83.3400     0.8473
   -9.500     0.000  -0.705176   0.023901   0.006842   0.030743   0.000000   0.000000   0.166707   0.000000  -0.000000   83.3400     0.8462
   -9.000     0.000  -0.663564   0.021164   0.006771   0.027935   0.000000   0.000000   0.156407   0.000000   0.000000   83.3400     0.8447
   -8.500     0.000  -0.621750   0.018584   0.006677   0.025261   0.000000   0.000000   0.146022   0.000000   0.000000   83.3400     0.8425
   -8.000     0.000  -0.579783   0.016163   0.006566   0.022729   0.000000   0.000000   0.135572   0.000000   0.000000   83.3400     0.8396
   -7.500     0.000  -0.537742   0.013908   0.006454   0.020362   0.000000   0.000000   0.125089   0.000000   0.000000   83.3400     0.8358
   -7.000     0.000  -0.495604   0.011818   0.006357   0.018174   0.000000   0.000000   0.114558   0.000000   0.000000   83.3400     0.8313
   -6.500     0.000  -0.453306   0.009892   0.006286   0.016177   0.000000   0.000000   0.103952   0.000000   0.000000   83.3400     0.8250
   -6.000     0.000  -0.410953   0.008135   0.006218   0.014352   0.000000   0.000000   0.093320   0.000000   0.000000   83.3400     0.8170
   -5.500     0.000  -0.368587   0.006549   0.006150   0.012699   0.000000   0.000000   0.082679   0.000000   0.000000   83.3400     0.8072
   -5.000     0.000  -0.326158   0.005133   0.006100   0.011233   0.000000   0.000000   0.072004   0.000000  -0.000000   83.3400     0.7939
   -4.500     0.000  -0.283658   0.003888   0.006063   0.009951   0.000000   0.000000   0.061294   0.000000   0.000000   83.3400     0.7764
   -4.000     0.000  -0.241125   0.002815   0.006022   0.008837   0.000000   0.000000   0.050569   0.000000   0.000000   83.3400     0.7516
